SquareID,Row2,Column2,x_waffle,y_waffle,x_bar,y_bar,BarName,color_waffle_2002,color_waffle_2017,yearLabor,Crop_Labor,Color_LaborCost,Percent_LaborCost,color_fb_cropWorker2019,color_undoc_cropWorker2019,YearAge,AgeLabel,AVG_Age,statefip,axis_x,axis_y,state_abv,NumberH2Aworkers,PrimaryCrop,H2AworkersCrop,AcresRegion,AcresYear,VegAcres,CitrusAcres,NonCitrusAcres,TotalAcres,WageRegion,NameWage,Wage,indexWage,orderWage,Region_H2A_text,Region_H2A,fb_2010Age,usb_2010Age,fb_2020Age,usb_2020Age,fb_2010Work,usb_2010Work,fb_2019Work,usb_2019Work,H2A_2020,H2A_2010,H2A_Dif,H2A_Increase,PercentProduce,Produce1,Number1_Count,Produce2,Number2_Count,Produce3,Number3_Count
sq79,8,9,740,260,860,140,CropWorker,#6B7CF2,#6B7CF2,0,BackStage,#FFFFFF,0,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq80,8,10,800,260,910,140,CropWorker,#6B7CF2,#6B7CF2,1998,AllFarms,#3A3745,0.107,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq81,9,1,260,200,260,190,CropWorker,#6B7CF2,#6B7CF2,1999,AllFarms,#3A3745,0.111,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq82,9,2,320,200,310,190,CropWorker,#6B7CF2,#6B7CF2,2000,AllFarms,#3A3745,0.11,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq83,9,3,380,200,360,190,CropWorker,#6B7CF2,#6B7CF2,2001,AllFarms,#3A3745,0.112,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq84,9,4,440,200,410,190,CropWorker,#6B7CF2,#FFDB21,2002,AllFarms,#3A3745,0.116,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq85,9,5,500,200,460,190,CropWorker,#6B7CF2,#FFDB21,2003,AllFarms,#3A3745,0.116,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq86,9,6,560,200,510,190,CropWorker,#6B7CF2,#FFDB21,2004,AllFarms,#3A3745,0.111,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq87,9,7,620,200,560,190,CropWorker,#FFDB21,#FFDB21,2005,AllFarms,#3A3745,0.105,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq88,9,8,680,200,610,190,CropWorker,#FFDB21,#FFDB21,2006,AllFarms,#3A3745,0.107,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq89,9,9,740,200,660,190,CropWorker,#FFDB21,#FFDB21,2007,AllFarms,#3A3745,0.11,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq90,9,10,800,200,710,190,CropWorker,#FFDB21,#FFDB21,2008,AllFarms,#3A3745,0.109,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq91,10,1,260,140,260,140,CropWorker,#FFDB21,#FFDB21,2009,AllFarms,#3A3745,0.108,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq92,10,2,320,140,310,140,CropWorker,#FFDB21,#FFDB21,2010,AllFarms,#3A3745,0.105,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq93,10,3,380,140,360,140,CropWorker,#FFDB21,#FFDB21,2011,AllFarms,#3A3745,0.099,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq94,10,4,440,140,410,140,CropWorker,#FFDB21,#cbf3d9,2012,AllFarms,#3A3745,0.091,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq95,10,5,500,140,460,140,CropWorker,#FFDB21,#cbf3d9,2013,AllFarms,#3A3745,0.086,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq96,10,6,560,140,510,140,CropWorker,#FFDB21,#cbf3d9,2014,AllFarms,#3A3745,0.086,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq97,10,7,620,140,560,140,CropWorker,#FFDB21,#cbf3d9,2015,AllFarms,#3A3745,0.088,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq98,10,8,680,140,610,140,CropWorker,#FFDB21,#cbf3d9,2016,AllFarms,#3A3745,0.093,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq99,10,9,740,140,660,140,CropWorker,#FFDB21,#cbf3d9,2017,AllFarms,#3A3745,0.1,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq100,10,10,800,140,710,140,CropWorker,#FFDB21,#cbf3d9,2018,AllFarms,#3A3745,0.104,#3A3745,#3A3745,0,Disappear,,NoState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
